geno	Omi32_e_2_1	Omi32_e_2_2	Omi32_e_2_3	Omi32_e_2_4	Omi32_e_3_1	Omi32_e_3_2	Omi32_e_3_3	Omi32_e_3_4	Omi32_e_4_1	Omi32_e_4_2	Omi32_e_4_3	Omi32_e_4_4	Omi32_e_5_1	Omi32_e_5_2	Omi32_e_5_3	Omi32_e_5_4	Omi32_e_6_1	Omi32_e_6_2	Omi32_e_6_3	Omi32_e_6_4	Omi32_e_7_1	Omi32_e_7_2	Omi32_e_7_3	Omi32_e_7_4	Omi32_e_8_1	Omi32_e_8_2	Omi32_e_8_3	Omi32_e_8_4	Omi32_e_F_1	Omi32_e_F_2	Omi32_e_F_3	Omi32_e_F_4	Omi32_e_F_5	Omi32_e_F_6	Omi32_e_F_7	Omi32_e_F_8	Omi32_f_2_1	Omi32_f_2_2	Omi32_f_2_3	Omi32_f_2_4	Omi32_f_3_1	Omi32_f_3_2	Omi32_f_3_3	Omi32_f_3_4	Omi32_f_4_1	Omi32_f_4_2	Omi32_f_4_3	Omi32_f_4_4	Omi32_f_5_1	Omi32_f_5_2	Omi32_f_5_3	Omi32_f_5_4	Omi32_f_6_1	Omi32_f_6_2	Omi32_f_6_3	Omi32_f_6_4	Omi32_f_7_1	Omi32_f_7_2	Omi32_f_7_3	Omi32_f_7_4	Omi32_f_8_1	Omi32_f_8_2	Omi32_f_8_3	Omi32_f_8_4	Omi32_f_F_1	Omi32_f_F_2	Omi32_f_F_3	Omi32_f_F_4	Omi32_f_F_5	Omi32_f_F_6	Omi32_f_F_7	Omi32_f_F_8
0000101100001	0	246	2046	932	0	384	922	427	14	558	242	342	334	650	250	5	921	11	262	1	732	646	0	0	1724	2	0	0	0	0	179	0	193	910	359	0	0	548	1353	347	0	0	2373	1	0	301	1748	137	2	701	24	3	416	0	2	1	1149	2	676	0	3505	78	358	0	0	0	102	0	41	367	1469	28
0000101100010	0	1	1	111	0	0	2	0	0	0	321	0	0	0	220	2	3	552	0	0	1	0	0	0	146	0	0	0	0	0	0	0	124	0	141	0	0	194	446	311	0	1	356	0	0	0	606	0	181	0	0	0	1431	0	0	0	1020	0	0	0	590	0	0	0	0	0	0	0	0	173	139	0
0000101100011	1	321	257	1007	0	0	449	90	1	400	521	0	1	0	527	0	918	242	0	1	230	37	0	0	1408	359	0	0	1	0	0	0	113	369	168	0	0	0	291	439	1	0	2213	231	0	0	424	1	1	1650	119	0	569	1	0	0	613	265	0	0	1166	0	0	0	0	0	0	0	0	185	484	0
0000101100100	0	3	1651	2871	0	223	1357	1373	6	277	1080	2019	2	393	2176	1371	2216	2248	418	2	938	389	1	0	1721	351	2	0	0	1	3	0	175	1918	738	266	0	171	2405	1915	0	2	1911	1104	0	2	1570	1022	2	0	3846	1	4376	609	0	0	4184	227	12	0	4639	0	2	0	0	0	35	2	192	598	2262	58
0000101100101	0	240	912	681	0	145	879	1040	3	43	1028	463	1	481	314	749	107	1216	1	0	402	492	0	0	2308	1	0	0	1	0	18	0	48	1556	385	0	0	0	1236	1608	0	3	773	841	0	0	1584	1597	1	0	1004	937	2015	0	1	0	1136	379	0	0	1558	192	461	0	0	0	44	0	0	620	1822	0
0000101100110	0	500	634	3107	1	2	1170	457	2	2	1346	778	4	2	1400	543	1135	1080	1	0	1232	586	0	0	2010	0	2	0	1	0	0	0	187	1114	564	1	1	183	1733	1192	0	0	1761	2057	0	1	2391	2474	1	0	1019	1	2653	445	0	0	3855	911	1	0	2111	1	0	0	0	0	0	0	154	456	1788	0
0000101100111	2	1	1895	1919	1	473	896	1075	0	9	616	839	5	632	530	829	52	605	349	0	2052	733	0	0	2365	432	0	0	1	0	1	0	299	1778	849	1	1	2	1571	2538	0	558	1601	1670	1	0	934	2048	0	1	1591	1024	1244	1	2	0	4334	0	1	0	2637	112	0	0	0	0	53	48	3	586	2154	150
0000101101000	3	13	1991	694	1	1101	1712	765	12	227	1736	2	3	1344	602	433	1844	324	275	4	2342	471	0	0	1905	346	6	0	2	0	0	1	469	1693	1257	0	0	0	2237	532	0	339	4573	4	0	696	2447	2	1559	667	222	3	1429	0	0	0	4789	1	435	0	2158	56	36	0	1	0	68	0	57	394	2529	59
0000101101001	3	598	1433	1375	0	569	1833	637	10	888	1369	112	3	1186	2498	8	1725	1531	295	0	1101	199	3	0	3329	813	4	0	0	0	2	119	0	1359	1107	146	0	0	2095	382	0	0	1771	157	0	1005	1342	138	756	346	34	4	2049	2	1	0	2174	3	1	0	2393	116	279	0	0	168	0	81	29	302	2613	8
0000101101010	1	3	1019	1387	0	575	1195	361	6	629	1318	0	8	1280	1222	95	602	1056	0	0	887	1122	0	0	2990	565	2	0	1	170	4	229	1	1380	1582	101	0	146	2051	1605	0	4	4524	659	0	397	3314	184	0	3305	409	3	984	468	0	1	4897	385	0	0	4470	255	0	0	0	0	169	45	2	371	3951	115
0000101101011	1	2	172	107	0	0	154	197	0	1	533	1	0	816	109	1	224	0	238	0	70	0	0	0	648	431	0	0	0	0	0	0	0	278	13	0	0	1	383	652	0	0	542	2	0	255	280	1	2	817	206	1	1090	256	0	0	750	0	0	0	418	0	0	0	0	0	57	0	0	68	605	29
0000101101100	0	1	0	218	0	1	0	0	0	0	1464	163	2	389	318	0	220	0	1	0	0	227	0	0	272	0	0	0	0	0	0	0	0	608	85	0	0	0	125	344	0	1	506	261	0	0	0	345	796	0	117	0	528	1	0	0	889	0	0	0	203	318	0	0	0	0	8	0	0	207	60	0
0000101101101	0	583	826	1028	0	0	778	343	4	216	940	1146	0	1077	377	596	963	697	1	2	1661	338	1	0	4572	313	1	0	1	184	1	0	237	900	471	0	0	2	1193	1893	0	1	1284	961	0	2	2079	243	0	1	862	0	2581	2	1	0	3107	0	0	0	2442	435	2	0	1	0	34	286	39	613	1749	1
0000101101110	0	428	638	728	0	2	160	1069	1	1	274	650	2	1	866	569	809	527	190	0	1122	529	0	0	1737	378	1	0	0	95	0	0	0	1016	428	0	0	258	1783	1372	0	0	691	67	0	3	1736	1653	0	3	1811	3	997	2	0	0	2429	1	1	0	1969	1	442	0	0	0	67	1	87	865	1563	24
0000101101111	0	0	287	639	0	0	197	270	0	2	0	1	0	0	0	1	0	0	1	1	167	0	0	0	177	391	0	0	0	0	0	0	0	191	0	0	0	0	148	0	0	0	79	87	0	0	301	528	0	0	75	4	502	0	0	0	391	1	0	0	414	0	0	0	0	0	0	1	100	0	267	30
0000101110000	0	0	0	123	0	0	0	0	0	0	286	1	0	258	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	109	80	0	0	0	98	156	0	0	484	0	0	0	120	0	0	0	0	0	2	0	0	0	386	0	0	0	616	0	0	0	0	0	22	0	0	0	147	38
0000101110001	0	0	1231	465	0	1	195	626	8	817	710	669	1098	848	12	0	900	3	0	2	1713	1414	153	0	1627	364	0	0	0	1	0	67	151	415	465	0	0	0	1209	89	0	707	873	310	0	398	1365	0	1976	944	362	3	1656	110	0	0	427	0	4	0	1965	0	1	0	0	0	0	0	29	566	1294	2
0000101110010	1	536	2038	2777	2	842	2991	787	35	372	2857	459	250	4941	2142	1058	2479	1323	602	5	3295	1546	818	0	5555	956	403	0	7	121	0	2	563	3483	1833	247	0	1	7266	1675	1	495	6295	111	2	985	4725	361	3055	3623	1901	5	4879	5	1	0	5585	793	435	0	9100	0	0	0	0	256	164	0	52	1674	5026	151
0000101110011	0	356	133	135	0	299	81	226	1	0	359	150	1	1	369	1	602	369	0	1	255	0	0	0	338	0	0	0	0	0	0	0	2	0	100	0	0	0	914	261	1	0	572	1	0	0	706	260	0	1	21	0	528	0	0	0	712	478	1	0	1008	1	0	0	0	0	37	1	0	100	729	113
0000101110100	0	2	263	956	0	1	407	17	4	0	1	634	1	761	632	3	808	544	112	0	832	349	491	0	1145	3	0	0	0	0	0	0	0	587	356	0	0	0	55	600	0	0	635	557	0	1	193	656	0	1	769	249	201	463	2	0	1324	118	0	0	1613	0	0	0	0	0	0	0	1	333	1071	0
0000101110101	2	1493	5926	8542	1	758	4424	4213	10	1230	4689	2478	530	2430	6400	2008	3087	2227	1546	4	6883	4167	611	0	10477	978	157	0	4	304	341	429	1173	7674	3845	4	0	128	8264	6618	1	320	8768	5050	1	278	8821	2373	3	2650	5607	67	7500	938	7	2	10109	636	35	0	11796	1791	998	0	2	1	485	23	235	2081	9566	605
0000101110110	1	4	1458	2911	0	3	718	4	2	207	1240	553	2	0	2108	308	332	1706	1	0	701	212	281	0	939	462	0	0	178	0	0	1	243	1856	746	138	1	110	1446	1638	0	293	3656	1243	0	0	2236	1401	0	632	2450	0	3086	937	0	0	3008	235	0	0	2781	1	158	0	1	0	24	90	1	541	2026	31
0000101110111	0	650	896	2628	0	1	647	418	3	87	614	1137	0	0	913	431	216	1295	668	0	518	616	0	0	749	432	362	0	0	1	1	0	0	155	264	304	0	211	479	769	0	126	1998	758	0	1	815	2	0	0	764	0	446	0	0	0	4221	425	5	0	1475	0	0	0	0	0	76	165	53	128	1195	98
0000101111000	0	870	0	344	0	267	68	0	0	162	253	0	1	0	0	1	416	863	176	0	0	11	0	0	1212	1	0	0	0	0	0	0	0	12	75	0	0	0	352	166	0	422	689	1	0	442	75	1	0	2	14	1	278	0	1	0	678	0	58	0	1037	1	0	0	0	0	24	0	0	312	870	62
0000101111001	5	2310	4128	1199	1	2919	2903	1546	28	4181	4618	1300	10	4943	4008	24	2995	2847	458	8	4118	1143	0	0	8726	575	902	0	5	143	398	115	730	5553	3187	182	0	202	6206	1442	0	2424	7748	174	1	4664	4169	571	3127	2762	1749	6	5582	544	1	1	12490	1197	11	0	9107	3	0	0	0	0	129	125	10	1308	7191	213
0000101111010	0	536	524	3	0	270	1026	85	0	326	622	1	0	0	784	0	243	1263	0	0	848	302	0	0	1249	191	1155	0	0	0	0	0	160	379	487	2	0	281	1244	687	1	450	1885	161	0	553	466	2	0	303	12	1	1278	0	1	1	624	0	0	0	1546	205	210	0	0	0	44	0	3	76	1797	89
0000101111011	0	1	1617	946	0	210	275	127	1	418	613	856	0	3	1	11	580	113	0	0	566	493	0	0	1332	350	0	0	0	0	0	0	1	931	477	1	0	0	1470	82	0	285	999	115	0	572	1001	2	0	0	13	1	570	0	1	0	2435	128	0	0	805	227	0	0	0	0	53	0	77	506	1505	0
0000101111100	0	288	1003	1288	1	0	1097	435	0	0	514	2	0	1209	263	2	272	667	0	0	97	241	2	0	1417	0	0	0	251	0	1	0	147	124	960	0	0	314	1909	295	1	0	1295	210	0	878	473	721	926	447	518	1	1754	0	0	0	2082	341	0	0	1949	123	0	0	0	0	0	102	0	380	1168	89
0000101111101	0	0	156	24	0	0	0	0	1	2	2	0	0	251	196	0	496	0	0	0	103	0	0	0	1405	0	0	0	0	0	1	1	0	256	318	0	0	0	455	0	0	0	1158	1	0	0	93	0	0	0	1	0	113	1	1	2	610	0	0	0	166	0	0	0	0	0	1	2	0	0	522	0
0000101111110	0	4	214	2276	0	216	1488	502	1	2	1218	1	1	2003	613	241	540	1240	290	1	2105	910	422	0	2030	255	0	0	1	0	2	1	58	2401	617	2	0	4	1341	1251	0	0	2995	833	0	4	2098	4	3	3	1380	4	462	340	0	1	2334	321	2	0	2320	430	383	0	0	0	14	1	181	397	2314	101
0000101111111	4	553	1759	4022	1	4	2533	2284	7	584	3445	500	6	1476	3470	841	1314	1297	1	3	4146	1405	578	0	4656	1187	2	0	0	1	3	0	459	2503	878	368	0	3	3316	3526	0	276	4160	2788	0	6	4439	421	1	1600	4052	9	4256	6	1	0	6198	4	0	0	4933	300	224	0	1	1	63	0	136	1070	5479	203
0000110000000	0	1352	881	235	0	548	370	179	10	501	252	0	6	1185	549	12	804	524	226	2	1062	204	235	0	604	1	0	0	1	0	0	55	62	884	63	0	0	300	1603	1	0	177	1000	162	0	938	1312	3	0	518	226	1	811	0	1	0	705	278	0	0	1281	0	0	0	0	0	2	0	145	471	1197	0
0000110000001	1	836	995	984	0	742	1266	306	29	186	2874	0	7	1438	1420	301	781	902	2	4	1706	655	573	0	3180	209	9	0	4	0	1	1	466	1861	456	1	0	398	2361	434	0	3	3058	59	0	1566	1927	537	3253	2666	310	3	1152	453	0	0	3357	633	9	0	2261	75	209	0	0	0	0	0	7	786	3210	55
0000110000010	1	447	1013	297	0	405	868	1	8	0	274	0	4	1533	578	275	1813	461	166	2	1182	289	2	0	1815	418	5	0	148	0	0	0	96	687	495	0	1	376	1357	234	0	385	1391	146	0	1534	1005	361	0	2	24	0	710	1	4	0	675	0	0	0	1589	2	389	0	0	0	6	0	125	319	1123	42
0000110000011	0	865	432	701	0	355	486	2	8	501	564	985	10	1096	583	2	478	10	130	0	281	571	154	0	1517	314	1	0	0	0	0	181	0	1827	616	0	0	3	1758	0	0	262	2222	2	1	1278	846	2	1564	693	706	1	2249	303	2	0	1750	0	0	0	797	0	0	0	0	0	0	0	0	560	1055	94
0000110000100	0	376	2453	2281	0	475	1118	776	10	607	1716	889	4	435	1710	288	789	1067	296	0	1995	139	0	0	1643	422	4	0	3	1	0	0	687	3110	424	1	0	190	2263	669	0	323	2805	109	0	155	2662	595	0	1265	1741	5	2571	2	2	0	3197	515	3	0	5088	0	209	0	0	0	96	0	192	773	2445	92
0000110000101	0	511	1933	2498	1	1122	3040	505	6	768	1765	1806	3	2148	3054	1097	1485	1411	210	2	2989	1922	1	0	3180	819	6	0	0	0	118	510	666	2522	945	0	1	2	5162	1124	0	249	4870	408	0	556	3233	292	1	2	1918	472	791	952	6	1	5005	0	2	0	3821	173	0	0	1	0	197	157	33	1830	3139	0
0000110000110	1	733	984	1613	0	497	1286	658	1	3	1187	1	2	1555	1535	1187	1129	1140	70	1	380	722	3	0	2186	377	2	0	1	0	2	1	476	764	164	0	0	2	1761	480	1	301	2974	3	0	4	2747	325	1	1058	1740	420	3226	2	0	0	2539	2	0	0	2881	393	1	0	0	0	1	0	1	1449	1575	53
0000110000111	2	1484	5148	2609	1	396	1789	1296	7	2658	2052	947	8	1492	4096	1818	1406	2618	798	2	3879	1293	320	0	6212	285	2	0	4	2	3	266	770	4225	1729	2	0	377	7681	1524	0	675	6331	332	0	683	3443	1118	3	981	2239	568	4180	1682	4	1	10270	1980	734	0	7769	268	640	0	0	0	123	27	185	3068	3862	137
0000110001000	1	300	2176	590	0	1621	740	303	16	474	999	2	7	1122	1196	4	947	1355	2	7	913	457	1	0	648	265	7	0	0	0	0	0	2	431	424	1	0	195	1720	259	0	634	1630	3	0	2566	556	92	444	0	377	1	1215	1	0	0	1400	0	0	0	2157	0	0	0	0	0	28	0	0	419	1143	0
0000110001001	0	496	0	28	0	1244	819	0	8	732	0	0	7	567	16	12	234	8	2	1	176	550	1377	0	1099	405	2	0	3	0	1	0	152	606	112	0	0	0	1141	212	0	0	1021	283	0	695	605	1	973	455	63	1	571	2	2	0	723	0	8	0	1156	0	202	0	0	0	0	17	0	186	771	0
0000110001010	1	298	1998	1004	0	1233	1509	500	1	904	1078	365	6	3167	1627	391	303	934	282	2	2461	1304	1	0	2785	419	177	0	2	0	1	1	885	3427	600	0	0	1	2082	1020	0	246	3000	6	0	1472	2308	255	1453	2073	699	2	1776	3	3	3	2525	0	220	0	3465	46	0	0	0	0	14	1	1	847	2113	0
0000110001011	0	2	1635	2	0	2	526	356	2	917	216	0	1	1319	577	4	610	387	0	0	688	2	0	0	981	106	0	0	0	1	0	1	553	580	771	0	0	207	1512	360	0	389	2129	5	0	496	1422	0	989	1483	0	0	226	606	0	0	3171	1	3	0	1834	1	130	0	0	0	60	0	1	407	1542	0
0000110001100	3	1676	2927	861	0	147	1445	351	3	510	2391	0	471	1157	643	1231	1851	7	314	1	495	659	195	0	2375	910	688	0	0	0	1	118	161	1696	304	0	0	0	2297	519	0	760	3108	146	0	827	732	2	777	1549	707	4	1279	1	1	0	3364	0	1	0	3231	283	315	0	0	0	42	0	28	1018	1629	19
0000110001101	1	2611	5622	2225	3	1985	3407	1315	17	344	4776	0	325	2014	1869	1245	1777	854	582	8	2712	755	499	0	5371	502	3	0	2	0	2	101	1799	5704	1314	4	1	352	5488	1467	1	751	6449	186	0	141	4270	604	910	6037	1499	3	4902	283	4	0	5428	652	12	0	7558	794	0	0	0	0	87	54	120	3044	6055	103
0000110001110	0	755	1901	1282	0	2	1419	292	10	719	1515	1077	3	0	1810	9	948	481	3	6	2234	147	1041	0	2900	360	5	0	180	0	1	0	848	2123	918	0	0	0	3243	540	0	211	2220	293	0	3	1942	666	3	558	2364	429	2687	193	1	0	5185	476	2	0	4180	501	0	0	1	0	23	44	51	1672	2546	0
0000110001111	0	1	185	414	0	0	577	750	2	1766	342	0	1	0	1496	320	571	1497	0	0	1047	1271	0	0	1597	0	0	0	0	1	0	130	232	271	166	0	0	1	985	529	0	0	1960	5	0	1	1419	0	0	0	841	366	721	0	0	0	866	0	0	0	2054	1	0	0	0	0	43	2	4	600	911	0
0000110010000	7	2361	2886	578	2	3167	2896	1064	289	4647	2775	1197	942	3185	1254	356	3601	1912	783	16	3571	2149	11	0	4532	682	1094	0	7	4	3	326	1036	3540	1328	1	0	1379	6701	486	1	2734	6102	293	2	4868	2688	667	4647	1215	151	6	4444	1546	1	0	8891	1059	568	0	8013	65	133	0	0	0	52	1	301	2313	4983	133
0000110010001	2	712	322	485	1	352	829	0	30	359	1255	190	3	263	1406	9	63	21	339	7	1063	110	0	0	655	9	6	0	1	0	1	0	64	912	117	0	2	204	1737	60	0	534	657	16	1	293	2	2	602	2398	23	1	141	150	1	4	2175	882	14	0	1855	0	0	0	0	0	14	284	188	825	1371	95
0000110010010	0	278	1593	23	0	431	474	2	9	677	651	1	239	1080	275	363	556	204	0	2	583	332	362	0	717	2	2	0	0	1	0	0	1002	1161	238	0	1	45	1793	330	1	538	1781	3	0	597	950	181	771	711	204	1	52	1	3	0	1402	0	2	0	1934	0	0	0	0	0	18	175	34	378	1153	0
0000110010011	0	487	1680	1102	0	577	849	4	2	2100	218	253	2	581	950	5	640	754	2	2	9	473	1	0	644	168	0	0	0	0	0	0	21	1881	790	0	0	1	1332	284	0	0	1177	85	0	510	279	1	1713	1	39	2	1590	0	2	0	2419	530	0	0	2145	0	0	0	0	0	30	0	34	242	1355	0
0000110010100	1	615	2042	3	0	1	1195	466	0	216	1249	1	1	152	1208	588	1372	2	1	0	963	1	0	0	3225	479	1	0	0	0	1	0	813	1597	323	3	0	1	2492	416	0	2	2865	318	0	322	1300	2	497	1377	503	1	1419	5	3	0	2183	285	3	0	2800	197	187	0	0	0	62	0	2	1147	2523	26
0000110010101	2	69	1697	305	0	561	764	395	3	1316	357	188	0	1776	586	986	1	398	0	1	1213	519	0	0	2172	207	457	0	0	0	3	83	280	950	340	1	0	2	2829	336	1	281	2214	3	0	947	836	189	1	3081	806	3	1392	2	2	1	4014	365	0	0	3024	2	0	0	1	0	0	2	0	950	1540	0
0000110010110	1	1475	3978	2104	0	856	3483	349	14	1010	2332	465	5	1929	2865	239	4498	945	287	0	2377	1460	0	0	5777	0	4	0	2	1	3	129	1060	3216	817	252	0	203	4922	1154	0	1232	3993	311	0	356	4294	374	1	1099	2179	1310	3792	7	3	0	7358	3	9	0	5367	10	112	0	1	0	224	68	34	2692	4341	115
0000110010111	1	493	1550	1072	0	495	982	935	9	985	1720	212	3	1346	1143	574	1367	1745	2	2	1100	933	127	0	3438	171	2	0	0	0	0	135	1036	2378	636	267	0	310	1536	838	0	0	3708	7	0	2	2330	273	0	739	2903	1	3003	4	3	1	3355	416	0	0	2626	0	0	0	0	0	161	0	81	1435	1656	21
0000110011000	4	2831	2694	48	3	2791	2699	534	41	4434	2021	828	423	2473	2649	430	3527	645	4	2	2966	859	355	0	6040	1402	616	0	5	2	51	1	734	4896	2013	270	0	2325	5434	879	0	4245	2782	252	42	4762	1475	2	2332	5008	651	5	1892	1157	1	0	6535	816	7	0	5310	207	1	0	1	0	124	95	278	1464	5028	0
0000110011001	0	476	395	4	0	1	264	205	1	1129	5	0	0	155	321	2	736	3	12	1	508	1	0	0	1141	0	1	0	0	0	0	92	180	536	78	0	0	1	982	57	0	345	322	0	0	132	280	1	804	1	0	0	259	1	3	0	635	0	2	0	1136	0	0	0	0	0	0	0	0	86	671	0
0000110011010	1	1100	2076	623	3	482	1328	622	21	1239	1790	555	5	737	996	1944	1444	288	1	5	1314	1133	1	0	3212	839	3	0	1	0	1	54	657	2055	901	1	0	101	4197	386	0	782	2077	201	2	1412	1459	2	1270	2441	169	4	682	118	3	1	2146	3	79	0	3946	1	3	0	1	184	10	93	184	1136	1679	0
0000110011011	1	1	1086	2008	1	1448	260	2	11	305	130	0	2	1263	738	56	644	6	0	5	850	734	4	0	2490	341	649	0	0	2	0	115	147	889	379	0	0	176	2352	447	0	385	648	90	0	1691	1286	2	384	782	472	0	1786	0	2	1	2618	221	0	0	1047	172	0	0	0	0	10	0	0	385	1227	0
0000110011100	3	1149	1076	813	0	430	1913	232	8	1730	425	442	189	2852	1443	195	2681	1425	0	2	2324	1254	0	0	2738	551	4	0	1	0	367	1	300	1825	670	0	0	0	3602	219	0	264	3393	7	6	484	1900	1	2150	325	29	3	1770	335	0	0	4588	0	2	0	2252	196	168	0	0	0	51	0	39	671	1650	110
0000110011101	0	482	2889	1560	1	1000	2671	154	5	2893	1522	0	6	1943	1123	2	2254	638	0	0	1105	1653	0	0	3229	619	2	0	304	0	177	0	800	1906	708	0	0	320	3942	586	1	327	5421	132	0	1219	3316	464	2039	2229	701	7	2533	1277	3	1	3898	1435	9	0	3309	338	1	0	0	1	27	0	3	1395	2241	68
0000110011110	0	2790	3770	1184	2	505	1317	907	5	2565	1369	0	514	1143	3034	729	2721	719	1	0	2799	506	0	0	3893	224	1	0	0	274	4	336	694	3030	551	0	0	485	3024	510	1	763	2555	765	0	1139	3420	146	716	3239	1430	675	1247	691	1	0	3058	283	4	0	3260	1	556	0	0	0	103	161	161	955	3142	231
0000110011111	3	1068	4338	2098	0	1146	2571	1258	13	3654	3540	982	382	2482	4482	998	4003	2988	306	3	3523	2318	818	0	7690	620	340	0	83	94	142	126	1421	3906	2712	8	0	134	8008	1457	0	607	8282	759	0	1502	5889	866	1544	3806	2756	7	9617	5	3	0	6376	887	196	0	9797	4	405	0	1	0	17	106	444	3039	6776	112
0000110100000	2	795	809	26	0	529	1256	128	6	2523	793	262	8	2110	20	178	751	640	0	3	1743	1055	4	0	1831	922	3	0	0	256	0	0	236	1109	145	0	0	0	2157	5	0	487	1516	213	0	1233	658	1	0	0	323	4	761	0	0	0	1833	0	0	0	2223	0	1	0	0	0	63	0	0	565	1718	41
0000110100001	0	594	867	712	0	779	649	2	8	342	367	1	6	1308	238	9	842	5	632	0	1214	1	0	0	1761	546	2	0	40	1	4	0	1	406	262	0	0	197	1568	3	0	17	2034	0	0	1829	1456	0	676	714	135	2	947	0	1	0	831	0	2	0	1728	189	0	0	0	0	0	1	0	535	1980	0
0000110100010	0	0	0	6	0	1	0	2	0	421	33	0	1	0	3	1	249	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	33	161	0	0	0	147	0	0	294	0	0	0	277	0	0	0	0	1	0	209	0	0	0	0	0	0	0	187	0	0	0	0	0	35	0	0	0	179	0
0000110100011	0	1	0	111	0	294	118	0	1	0	331	0	0	0	196	0	2213	0	0	0	154	267	0	0	907	249	0	0	0	0	0	0	227	220	0	0	0	311	1084	0	1	152	2	0	0	219	197	1	0	0	10	0	29	0	0	0	1	0	0	0	341	0	0	0	0	0	0	0	0	337	634	0
0000110100100	1	355	1813	873	0	331	1472	925	5	931	1357	2	506	975	458	272	1483	11	4	1	682	306	120	0	1684	123	2	0	0	0	0	285	549	1858	813	1	0	1	2445	967	0	2	3660	520	0	793	2441	238	816	752	215	5	1328	2	3	1	4679	247	1	0	4406	107	163	0	0	0	130	1	0	784	2480	0
0000110100101	0	332	1905	1955	1	94	1145	890	1	1369	1909	614	2	2880	2092	74	720	1102	2	0	479	1307	2	0	3149	1288	1	0	216	0	1	1	838	2094	547	221	1	46	4100	897	0	369	3549	430	0	979	1950	2	408	1070	2157	1	595	5	0	0	3967	120	0	0	3728	104	1	0	0	0	65	1	0	1076	2422	0
0000110100110	1	1153	1977	3324	1	66	3091	739	11	688	1020	364	2	3293	6411	448	3157	1096	197	0	2974	1010	634	0	4072	227	2	0	396	0	1	0	1263	3389	1163	0	0	3	4656	1558	2	381	5253	393	0	1191	5060	2	1802	1294	1250	0	3973	0	0	2	7011	1	1	0	5343	2	0	0	0	0	153	56	41	1596	3120	124
0000110100111	0	337	685	528	0	79	718	0	0	0	1416	0	0	546	386	0	8	475	1	0	151	242	0	0	1798	1	0	0	0	0	0	0	121	98	354	0	1	0	1039	128	0	0	485	445	0	262	521	2	1	682	622	0	281	260	1	0	1947	722	1	0	1144	237	0	0	150	0	1	67	2	573	1217	0
0000110101000	2	4254	1510	550	1	1497	2168	220	40	3202	1261	876	185	2662	1210	46	4524	1796	2	14	2610	1499	902	0	3976	1146	10	0	10	1	2	125	824	1787	1209	0	0	855	3328	751	0	3048	2845	15	0	4505	908	2	1938	3	324	4	4221	0	2	0	3387	359	586	0	5319	336	0	0	1	0	148	1	5	1342	3578	110
0000110101001	0	643	588	7	0	783	823	1	245	708	224	0	3	1553	835	1	754	4	2	0	11	611	0	0	2248	2	1	0	0	0	0	0	141	673	12	0	0	113	917	1	1	1304	993	1	0	4	228	1	94	0	188	1	1047	0	1	0	2324	0	480	0	1486	0	0	0	1	0	39	76	134	497	1122	34
0000110101010	2	2597	2039	837	0	2208	1400	198	13	4124	872	607	9	1968	987	529	1520	1806	4	1	2334	639	7	0	4991	769	510	0	1	2	118	2	102	2948	1022	1	1	172	3825	308	0	1735	3794	12	0	2275	1179	152	1643	2644	121	3	2910	638	4	1	4534	638	1244	0	3667	2	65	0	0	0	75	150	3	1117	4168	74
0000110101011	0	1133	2066	494	0	2880	1230	1214	17	2942	1119	123	1002	3892	1400	1299	2182	1254	5	2	1753	1005	347	0	4442	415	3	0	1	73	346	57	455	1745	236	0	0	480	4511	677	0	236	4112	8	0	3071	698	0	1432	777	383	0	636	5	239	1	4608	3	2	0	4369	2	2	0	2	0	44	63	4	1128	2530	32
0000110101100	5	2427	5652	3272	1	2260	3405	847	22	5389	3694	548	206	5401	3546	1781	5371	1331	561	5	3808	1057	344	0	7155	1110	6	0	2	0	2	151	2390	5989	3150	1	0	2	8876	1967	1	936	11173	639	0	4464	4781	490	6329	3482	496	5	7031	259	11	0	11349	648	231	0	11264	294	0	0	1	0	282	115	256	3058	7532	87
0000110101101	0	350	564	267	0	105	580	1	6	350	1043	148	9	0	513	200	883	261	0	3	892	160	0	0	835	1	0	0	0	1	1	0	184	329	317	0	0	1	1032	100	0	0	1720	0	0	533	471	1	0	286	10	0	998	2	1	0	779	529	0	0	1203	0	116	0	0	0	0	1	20	58	1065	0
0000110101110	5	406	2520	710	0	489	1890	493	21	708	2101	248	543	940	1826	372	2332	947	497	3	2240	2044	0	0	4400	661	1	0	503	1	1	1	469	3457	766	2	0	107	4616	584	0	1010	4159	5	57	1073	4011	1	981	4458	194	6	3466	4	2	0	4525	202	789	0	4782	736	1	0	0	0	66	5	270	925	3334	146
0000110101111	3	804	3626	234	1	304	1254	366	8	1562	828	39	10	16	1464	486	1442	196	3	1	913	500	186	0	1982	837	5	0	0	0	311	1	262	1877	490	0	0	2	2995	437	0	3	2780	341	0	585	2527	1	3	804	896	0	1534	328	0	0	3659	133	1533	0	3121	1	0	0	0	1	122	70	14	943	2417	0
